numero_uai,denomination_principale,dénomination complémentaire,code_postal_uai,localité_acheminement,departement,nature_uai,nature libellé,Ministère tutelle 
0021577D,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02000,LAON,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0021756Y,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02100,ST QUENTIN,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0021791L,ETABLISSEMENT HOSPITALIER,,02200,SOISSONS,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0022139P,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02880,CROUY,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0022146X,ETAB. PUBLIC DE SANTE MENTALE,CMP LA FERE,02800,LA FERE,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0022147Y,ETAB. PUBLIC DE SANTE MENTALE,CPA CENTRE POUR ADOLESCENTS,02300,CHAUNY,002,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0030962E,ETABLISSEMENT HOSPITALIER,CENTRE MEDICAL FRANCOIS MERCIE,03240,TRONGET,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0030963F,ETABLISSEMENT HOSPITALIER,CTRE DEP DE CURE MEDICALE,03240,ROCLES,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0030964G,CENTRE HOSPITALIER,MOULINS - YZEURE,03000,MOULINS,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0031055F,ETABLISSEMENT HOSPITALIER,,03100,MONTLUCON,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0031061M,ETABLISSEMENT HOSPITALIER,,03200,VICHY,003,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0040437D,ETABLISSEMENT HOSPITALIER,LES LAVANDES,04000,DIGNE LES BAINS,004,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0050512E,ETABLISSEMENT HOSPITALIER,SECTION D ENFANTS,05700,MEREUIL,005,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0050635N,HOPITAL DE JOUR,CENTRE ACCUEIL ET PSYCHOTHERAP,05000,GAP,005,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0060834Z,ETABLISSEMENT HOSPITALIER,CLINIQUE DES CADRANS SOLAIRES,06142,VENCE CEDEX,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0060965S,ETABLISSEMENT HOSPITALIER,ECOLE DES HOPITAUX,06000,NICE,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0061324G,ETABLISSEMENT HOSPITALIER,SECTION D ENFANTS,06220,VALLAURIS,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0061364A,ETABLISSEMENT HOSPITALIER,CL POUR ENF HANDICAPES PHYS,06000,NICE,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0061448S,ETABLISSEMENT HOSPITALIER,HOPITAL ARCHET 2 CTRE SCOLAIRE,06202,NICE CEDEX 3,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0061450U,ETABLISSEMENT HOSPITALIER,SECTION D ENFANTS,06220,VALLAURIS,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0061918C,ETABLISSEMENT HOSPITALIER,ECOLE DU CTRE ALLIANCE-HOPITAL,06606,ANTIBES CEDEX,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0061922G,CENTRE HOSPITALIER,SAINTE MARIE - S.I.P.A.D,06009,NICE CEDEX 1,006,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0080936Z,SCE ENFANTS HOPITAL SPECIALISE,BELAIR,08109,CHARLEVILLE MEZIERES CEDEX,008,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0090583K,ETABLISSEMENT HOSPITALIER,CLINIQUE PSYCHOTHERA DE ROZES,09190,ST LIZIER,009,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0090584L,ETABLISSEMENT HOSPITALIER,CLINIQUE PSYCHOTHERA DE ROZES,09190,ST LIZIER,009,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0100659M,ETABLISSEMENT HOSPITALIER,CENTRE HOSPITALIER,10003,TROYES CEDEX,010,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0100888L,ETABLISSEMENT HOSPITALIER,CONSULTATION MED-PSYCHOLOGIQUE,10500,BRIENNE LE CHATEAU,010,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0101119M,HOPITAL DE JOUR,CMP-CATTP PREMICES,10100,ROMILLY SUR SEINE,010,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0101120N,HOPITAL DE JOUR ESPACE RETROUV,CMP-CATTP L'ESPACE RETROUVE,10000,TROYES,010,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0101132B,HOPITAL DE JOUR,CMP-CATTP LA PAROLE RECONNUE,10500,BRIENNE LA VIEILLE,010,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0110976B,ETABLISSEMENT HOSPITALIER,PEDIATRIE,11000,CARCASSONNE,011,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0121253X,ETABLISSEMENT HOSPITALIER,ECOLE DE L'UNITE MEDICO PSYCHO,12000,RODEZ,012,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0130961Z,ETABLISSEMENT HOSPITALIER,ECOLE ANNEXEE HOP. E.TOULOUSE,13014,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0130965D,ETABLISSEMENT HOSPITALIER,CHATEAU-GUIS-HOP.ST-MARGUERITE,13009,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0131906B,ETABLISSEMENT HOSPITALIER,ECOLE ANNEXEE HOPITAL NORD,13015,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0132489K,ETABLISSEMENT HOSPITALIER- CHU,CENTRE SCOLAIRE HOPITAL ENFANT,13005,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0132685Y,ETABLISSEMENT HOSPITALIER,ECOLE ANNEXEE HOP. VALVERT,13011,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0132686Z,ETABLISSEMENT HOSPITALIER DE J,HOPITAL DE JOUR (PSYCHIATRIE),13503,MARTIGUES CEDEX,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0132944E,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,13600,LA CIOTAT,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133038G,ETABLISSEMENT HOSPITALIER,CTRE PSYCHOTHERAPIE INFANTILE,13127,VITROLLES,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133191Y,ETABLISSEMENT HOSPITALIER,UNITE OXALIS MONTPERRIN (PSYCH,13085,AIX EN PROVENCE CEDEX 2,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133297N,ETABLISSEMENT HOSPITALIER,HOPITAL PEDIATRIE,13671,AUBAGNE CEDEX,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133301T,ETABLISSEMENT HOSPITALIER,SAINTE-ELISABETH,13248,MARSEILLE CEDEX 04,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133705G,ETABLISSEMENT HOSPITALIER,HOPITAL LE RELAIS,13009,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133890H,ETABLISSEMENT HOSPITALIER,PLOMBIERE,13014,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133930B,ETABLISSEMENT HOSPITALIER,HOPITAL D'ADOLESCENTS,13258,MARSEILLE CEDEX 09,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0133969U,HOPITAL,DE SALON DE PROVENCE,13300,SALON DE PROVENCE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0134173R,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,13085,AIX EN PROVENCE CEDEX 2,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0134260K,CENTRE GERONTOLOGIQUE DÉPARTEM,INSTITUT DE FORMATION EN SOINS,13012,MARSEILLE,013,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0141705C,ETABLISSEMENT HOSPITALIER,NIVEAU 10  ENFANTS ALLONGES,14033,CAEN CEDEX 9,014,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0141716P,ETABLISSEMENT HOSPITALIER,LE BON SAUVEUR,14012,CAEN CEDEX 1,014,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0142105M,ETABLISSEMENT HOSPITALIER,ROBERT BISSON,14100,LISIEUX,014,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0142396D,CENTRE HOSPITALIER RÉGIONAL,,14033,CAEN CEDEX 9,014,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0150656G,ETABLISSEMENT HOSPITALIER,,15000,AURILLAC,015,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0150698C,ETABLISSEMENT HOSPITALIER,,15000,AURILLAC,015,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0150699D,ETABLISSEMENT HOSPITALIER,QUARTIER PSYCHIATRIQUE,15000,AURILLAC,015,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0150740Y,CENTRE HOSPITALIER,,15200,MAURIAC,015,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0150741Z,CENTRE HOSPITALIER,,15100,ST FLOUR,015,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0160780L,ETABLISSEMENT HOSPITALIER,MONCHOIX,16320,ROUGNAC,016,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0160967P,ETABLISSEMENT HOSPITALIER,CAMILLE CLAUDEL,16400,LA COURONNE,016,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0161052G,ETABLISSEMENT HOSPITALIER,CLASSE D'ENFANTS CONVALESCENTS,16470,ST MICHEL,016,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0161063U,ETABLISSEMENT HOSPITALIER,EDUCATION ET SOINS A DOMICILE,16470,ST MICHEL,016,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171236B,ETABLISSEMENT HOSPITALIER,UHE LA ROCHELLE,17022,LA ROCHELLE CEDEX 1,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171410R,HOPITAL DE JOUR ENFANTS,CENTRE HOSPITALIER DE SAINTONG,17100,SAINTES,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171411S,ETABLISSEMENT HOSPITALIER,ECOLE D'EDUCATION SPECIALE,17503,JONZAC CEDEX,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171458T,ETABLISSEMENT HOSPITALIER,UHE ROCHEFORT,17300,ROCHEFORT,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171498L,ETABLISSEMENT HOSPITALIER,GROUPE HOSP. ROCHELLE-RE AUNIS,17000,LA ROCHELLE,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171534A,ETABLISSEMENT HOSPITALIER,SOLEADO,17022,LA ROCHELLE CEDEX 1,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171597U,CENTRE HOSPITALIER DE SAINTONG,LAPS'ADO,17100,SAINTES,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171598V,ETAB THERAPEUTIQUE ADOLESCENTS,ETAP,17800,PONS,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0171621V,UPPIJ,UPPIJ,17503,JONZAC CEDEX,017,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0180788J,ECOLE SPECIALISE PMPEA VALVERT,CTRE HOSP.SPE.PSY.GEORGE SAND,18024,BOURGES CEDEX,018,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0180979S,CENTRE HOSPITALIER,DE VIERZON,18102,VIERZON CEDEX,018,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0190625B,ETABLISSEMENT HOSPITALIER,LES GLANDIERS,19230,BEYSSAC,019,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0195054R,SERV ACTIVITE INDUSTR COMMERC,,19000,TULLE,019,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0211148J,ETABLISSEMENT HOSPITALIER,CENTRE SCOLAIRE HOPITAL ENFANT,21079,DIJON CEDEX,021,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0211349C,ETABLISSEMENT HOSPITALIER,ISCO CHS CHARTREUSE,21033,DIJON CEDEX,021,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0211493J,ETABLISSEMENT HOSPITALIER,PEDOPSYCHIATRIE R. MORLEVAT,21140,SEMUR EN AUXOIS,021,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0212067H,ETABLISSEMENT HOSPITALIER,CATTP DU CHATEAU,21110,GENLIS,021,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0212068J,ETABLISSEMENT HOSPITALIER,CATTP FONTAINE AUX BERLINGOTS,21000,DIJON,021,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0212069K,ETABLISSEMENT HOSPITALIER,CTRE AIDE THERAP. T.P. UPSILON,21000,DIJON,021,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0212090H,ETABLISSEMENT HOSPITALIER,CATTP ARLEQUIN,21200,BEAUNE,021,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0221668U,CENTRE HOSPITALIER,L'ARC EN CIEL,22100,DINAN,022,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0230502W,ETABLISSEMENT HOSPITALIER,LA VALETTE,23320,ST VAURY,023,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0230603F,ETABLISSEMENT HOSPITALIER,CTRE PSYCHO INFANTILE,23320,ST VAURY,023,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0240885G,ETABLISSEMENT HOSPITALIER,IME FONDATION J. BOST,24130,LA FORCE,024,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0241120M,ETABLISSEMENT HOSPITALIER,CTRE PSYCHOTHER DE JOUR PR ENF,24100,BERGERAC,024,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0241186J,CENTRE DE PSYCHOTHERAPIE JOUR,,24000,PERIGUEUX,024,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0241299G,HOPITAL DE JOUR POUR ENFANTS,,24700,MONTPON MENESTEROL,024,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0241300H,HOPITAL DE JOUR POUR ENFANTS,HOPITAL DE JOUR POUR ENFANTS P,24400,MUSSIDAN,024,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0251318X,CENTRE HOSPITALIER SPECIALISE,CEDRES,25220,NOVILLARS,025,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0251709X,UNITÉ D'ENSEIGNEMENT CATTP ET,CHU SAINT JACQUES,25000,BESANCON,025,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0260218W,ETABLISSEMENT HOSPITALIER,DIEULEFIT SANTE,26220,DIEULEFIT,026,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0261047X,ETABLISSEMENT HOSPITALIER,SITE DE SAINT VALLIER,26240,ST VALLIER,026,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0261115W,ETABLISSEMENT HOSPITALIER,LE VALMONT,26760,MONTELEGER,026,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0261275V,ETABLISSEMENT HOSPITALIER,,26001,VALENCE CEDEX,026,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0261361N,ETABLISSEMENT HOSPITALIER,,26100,ROMANS SUR ISERE,026,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0271506R,ETABLISSEMENT HOSPITALIER,CHS NAVARRE SECTEUR DE PEDOPSY,27000,EVREUX,027,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0271686L,ETABLISSEMENT HOSPITALIER,CH EURE-SEINE VERNON,27200,VERNON,027,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0271787W,ETABLISSEMENT HOSPITALIER,LA MUSSE,27180,ST SEBASTIEN DE MORSENT,027,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0271879W,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR POUR ADOLESCEN,27000,EVREUX,027,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0280862K,CENTRE ACCUEIL THERAPEUTIQUE,SECTEUR 28 L.01,28200,CHATEAUDUN,028,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0280914S,ETABLISSEMENT HOSPITALIER,SECTEUR PSYCHIATRIE INFANTILE,28000,CHARTRES,028,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0280982R,ECOLE DU S.P.I.J,,28100,DREUX,028,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0281106A,ETABLISSEMENT HOSPITALIER,NOGENT-LE-ROTROU,28400,NOGENT LE ROTROU,028,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0281178D,CENTRE HOSPITALIER,DREUX,28102,DREUX CEDEX,028,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0292026V,CENTRE HOSPITALIER,LAENNEC QUIMPER,29107,QUIMPER CEDEX,029,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0292027W,CTRE HOSPITALIER REGIONAL UNIV,MORVAN BREST,29609,BREST CEDEX 2,029,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0292091R,CENTRE HOSPITALIER,BOHARS  ANTENNE CHRU BREST,29820,BOHARS,029,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0310946K,CHR PURPAN,ECOLE D'ENFANTS ET D'ADOLESCEN,31001,TOULOUSE CEDEX 6,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0311310F,HOPITAL DE JOUR LES AUTANS,PÔLE GUIDANCE INFANTILE (ARSEA,31670,LABEGE,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0311821L,ETABLISSEMENT HOSPITALIER,HOME DE LARADE,31100,TOULOUSE,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0311826S,HÔPITAL DE JOUR SAINT-LÉON,HÔPITAL DE JOUR POUR ADOS SAIN,31000,TOULOUSE,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0311917R,HOPITAL DE JOUR,MARCHANT,31000,TOULOUSE,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0311918S,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LES BOURDETTES,31400,TOULOUSE,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0312392G,ETABLISSEMENT HOSPITALIER,DES ARMEES LARREY,31998,,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0312588V,ETABLISSEMENT HOSPITALIER,HÔPITAL DE JOUR ROUTE DE SEYSS,31000,TOULOUSE,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0312715H,CLINIQUE,MARIGNY,31140,ST LOUP CAMMAS,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0312964D,CLINIQUE,ANDRÉ CHAURAND,31057,TOULOUSE CEDEX 1,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0312965E,HÔPITAL DE JOUR,LES BOURDETTES,31000,TOULOUSE,031,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332071X,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR L'OISEAU LYRE,33850,LEOGNAN,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332072Y,ETABLISSEMENT HOSPITALIER,HOPITAL PELLEGRIN ENFANTS,33076,BORDEAUX CEDEX,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332454N,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR DU PARC,33200,BORDEAUX,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332460V,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LES PLATANES,33320,EYSINES,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332500N,ETABLISSEMENT HOSPITALIER,CENTRE HOSPITALIER SPECIALISE,33125,HOSTENS,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332541H,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR GARDEROSE,33505,LIBOURNE CEDEX,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332548R,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR CAYCHAC,33290,BLANQUEFORT,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332641S,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LA POMME BLEUE,33800,BORDEAUX,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332694Z,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR CHT D'HALLORAN,33600,PESSAC,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332695A,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LA DEMI LUNE,33140,VILLENAVE D ORNON,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332839G,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR SAINT-GIRONS,33920,ST GIRONS D AIGUEVIVES,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332840H,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR ROCHEREAU,33240,ST ANDRE DE CUBZAC,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332841J,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,33380,BIGANOS,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332842K,ETABLISSEMENT HOSPITALIER,CENTRE DE JOUR,33720,PODENSAC,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0332843L,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR L'ILE VERTE,33210,TOULENNE,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333074M,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR RIVIERE BLEUE,33130,BEGLES,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333077R,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR CHATEAU NEUF,33000,BORDEAUX,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333078S,ETABLISSEMENT HOSPITALIER,UNITE POUR ADO. HOP C. PERRENS,33000,BORDEAUX,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333079T,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LES BARIES,33410,CADILLAC,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333080U,ETABLISSEMENT HOSPITALIER,CATT P LE COQUELICOT,33150,CENON,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333084Y,ETABLISSEMENT HOSPITALIER,CTRE SOINS POUR ADO. L'AMAZONE,33500,LIBOURNE,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333086A,ETABLISSEMENT HOSPITALIER,MAISON POST-CURE MONTALIER,33650,ST SELVE,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333087B,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LES DOMINOS,33400,TALENCE,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333295C,ETABLISSEMENT HOSPITALIER,HOPITAL LES FONTAINES D'ARLAC,33700,MERIGNAC,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
0333297E,ETABLISSEMENT HOSPITALIER,CTRE RESS AUTISME TRBLES DEVEL,33076,BORDEAUX CEDEX,033,200,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE
