numero_UAI,dénomination_principale,Dénomination_complémentaire,code_postal_UAI,localité_acheminement,departement,nature_uai,libelle_court,nature libellé,Ministère tutelle ,UAIDTO,ACADCO
0292027W,CTRE HOSPITALIER REGIONAL UNIV,MORVAN BREST,29609,BREST CEDEX 2,029,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-86,14
0281178D,CENTRE HOSPITALIER,DREUX,28102,DREUX CEDEX,028,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Jan-01,18
0211148J,ETABLISSEMENT HOSPITALIER,CENTRE SCOLAIRE HOPITAL ENFANT,21079,DIJON CEDEX,021,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,18-Oct-68,07
0061918C,ETABLISSEMENT HOSPITALIER,ECOLE DU CTRE ALLIANCE-HOPITAL,06606,ANTIBES CEDEX,006,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,23
0332072Y,ETABLISSEMENT HOSPITALIER,HOPITAL PELLEGRIN ENFANTS,33076,BORDEAUX CEDEX,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,17-Jun-71,04
0341880J,CTRE HOSPITALIER ARNAUD VILLEN,UNITE ENSEIGNEMENT CHRU MONTP,34295,MONTPELLIER CEDEX 5,034,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-93,11
0090584L,ETABLISSEMENT HOSPITALIER,CLINIQUE PSYCHOTHERA DE ROZES,09190,ST LIZIER,009,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,13-Jan-71,16
0161052G,ETABLISSEMENT HOSPITALIER,CLASSE D'ENFANTS CONVALESCENTS,16470,ST MICHEL,016,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,9-Sep-80,13
0351938S,CTRE HOSPITALIER SPECIALISE,LE PLACIS VERT,35235,THORIGNE FOUILLARD,035,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,21-Nov-77,14
0382524M,ETABLISSEMENT HOSPITALIER,LUCIEN HUSSEL,38201,VIENNE CEDEX,038,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-78,08
0021577D,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02000,LAON,002,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,7-Nov-68,20
0022147Y,ETAB. PUBLIC DE SANTE MENTALE,CPA CENTRE POUR ADOLESCENTS,02300,CHAUNY,002,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-14,20
0060834Z,ETABLISSEMENT HOSPITALIER,CLINIQUE DES CADRANS SOLAIRES,06142,VENCE CEDEX,006,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,24-Dec-68,23
0060965S,ETABLISSEMENT HOSPITALIER,ECOLE DES HOPITAUX,06000,NICE,006,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,28-Mar-68,23
