numero_UAI,dénomination_principale,Dénomination_complémentaire,code_postal_UAI,localité_acheminement,departement,nature_uai,libelle_court,nature libellé,Ministère tutelle ,UAIDTO,ACADCO
0061922G,CENTRE HOSPITALIER,SAINTE MARIE - S.I.P.A.D,06009,NICE CEDEX 1,006,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,23
0100659M,ETABLISSEMENT HOSPITALIER,CENTRE HOSPITALIER,10003,TROYES CEDEX,010,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,22-Nov-67,19
0130965D,ETABLISSEMENT HOSPITALIER,CHATEAU-GUIS-HOP.ST-MARGUERITE,13009,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,10-Jul-65,02
0133297N,ETABLISSEMENT HOSPITALIER,HOPITAL PEDIATRIE,13671,AUBAGNE CEDEX,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-87,02
0133930B,ETABLISSEMENT HOSPITALIER,HOPITAL D'ADOLESCENTS,13258,MARSEILLE CEDEX 09,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-07,02
0171236B,ETABLISSEMENT HOSPITALIER,UHE LA ROCHELLE,17022,LA ROCHELLE CEDEX 1,017,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,4-Nov-75,13
0171621V,UPPIJ,UPPIJ,17503,JONZAC CEDEX,017,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-15,13
0180788J,ECOLE SPECIALISE PMPEA VALVERT,CTRE HOSP.SPE.PSY.GEORGE SAND,18024,BOURGES CEDEX,018,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,13-Sep-79,18
0180979S,CENTRE HOSPITALIER,DE VIERZON,18102,VIERZON CEDEX,018,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-14,18
0211349C,ETABLISSEMENT HOSPITALIER,ISCO CHS CHARTREUSE,21033,DIJON CEDEX,021,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,18-Jun-71,07
0212067H,ETABLISSEMENT HOSPITALIER,CATTP DU CHATEAU,21110,GENLIS,021,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-96,07
0251318X,CENTRE HOSPITALIER SPECIALISE,CEDRES,25220,NOVILLARS,025,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,21-Jun-71,03
0261115W,ETABLISSEMENT HOSPITALIER,LE VALMONT,26760,MONTELEGER,026,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,4-Jan-78,08
0261275V,ETABLISSEMENT HOSPITALIER,,26001,VALENCE CEDEX,026,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-90,08
0271686L,ETABLISSEMENT HOSPITALIER,CH EURE-SEINE VERNON,27200,VERNON,027,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-95,21
0292026V,CENTRE HOSPITALIER,LAENNEC QUIMPER,29107,QUIMPER CEDEX,029,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-86,14
0310946K,CHR PURPAN,ECOLE D'ENFANTS ET D'ADOLESCEN,31001,TOULOUSE CEDEX 6,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,15-Nov-65,16
0311826S,HÔPITAL DE JOUR SAINT-LÉON,HÔPITAL DE JOUR POUR ADOS SAIN,31000,TOULOUSE,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,6-Dec-76,16
0311917R,HOPITAL DE JOUR,MARCHANT,31000,TOULOUSE,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-78,16
0312588V,ETABLISSEMENT HOSPITALIER,HÔPITAL DE JOUR ROUTE DE SEYSS,31000,TOULOUSE,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-00,16
0312965E,HÔPITAL DE JOUR,LES BOURDETTES,31000,TOULOUSE,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-17,16
0312964D,CLINIQUE,ANDRÉ CHAURAND,31057,TOULOUSE CEDEX 1,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-17,16
0332454N,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR DU PARC,33200,BORDEAUX,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-79,04
0332695A,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LA DEMI LUNE,33140,VILLENAVE D ORNON,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,2-Apr-84,04
0332641S,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LA POMME BLEUE,33800,BORDEAUX,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-83,04
0332842K,ETABLISSEMENT HOSPITALIER,CENTRE DE JOUR,33720,PODENSAC,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-91,04
0333077R,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR CHATEAU NEUF,33000,BORDEAUX,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,04
0333079T,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LES BARIES,33410,CADILLAC,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,04
0333084Y,ETABLISSEMENT HOSPITALIER,CTRE SOINS POUR ADO. L'AMAZONE,33500,LIBOURNE,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,04
0333295C,ETABLISSEMENT HOSPITALIER,HOPITAL LES FONTAINES D'ARLAC,33700,MERIGNAC,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-12,04
0333297E,ETABLISSEMENT HOSPITALIER,CTRE RESS AUTISME TRBLES DEVEL,33076,BORDEAUX CEDEX,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-12,04
0340381E,ETABLISSEMENT HOSPITALIER,PAUL COSTE FLORET,34240,LAMALOU LES BAINS,034,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,10-Jul-65,11
0341394F,ETABLISSEMENT HOSPITALIER,SAINT ELOI / SVC M.P.E.A.,34295,MONTPELLIER CEDEX 5,034,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,6-Jun-75,11
0341721L,INSTITUT CANCER DE MONTPELLIER,VAL D'AURELLE,34001,MONTPELLIER CEDEX 1,034,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,21-Mar-88,11
0341737D,ETABLISSEMENT HOSPITALIER,SVC PEDIATRIE   PEDO-PSYCHIATR,34525,BEZIERS CEDEX,034,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Oct-88,11
0341604J,ETABLISSEMENT HOSPITALIER,S.M.P.E.A. PEYRE PLANTADE,34295,MONTPELLIER CEDEX 5,034,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-84,11
0351044V,SERVICE D ENSEIGNEMENT,CHS ECOLE BOIS PERRIN,35703,RENNES CEDEX 7,035,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,6-Aug-68,14
0352156D,CENTRE HOSPITALIER,UNITE PEDAGOGIQUE,35403,ST MALO CEDEX,035,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-83,14
0352294D,CENTRE HOSPITALIER,FONTENOY,35200,RENNES,035,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-91,14
0352597H,HOPITAL DE JOUR,NOMINOE G REGNIER,35600,REDON,035,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,14
0371241Y,SERVICE PEDO. PSY. HOPITAL,BRETONNEAU,37044,TOURS CEDEX 9,037,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,23-Oct-76,18
0371349R,ETABLISSEMENT HOSPITALIER,CLOCHEVILLE,37044,TOURS CEDEX 9,037,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,16-Nov-81,18
0371784N,CENTRE HOSPITALIER,HOPITAL DE JOUR ADULTES,37502,CHINON CEDEX,037,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Jan-01,18
0400840W,ETABLISSEMENT HOSPITALIER,,40012,MONT DE MARSAN CEDEX,040,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,23-May-79,04
0131906B,ETABLISSEMENT HOSPITALIER,ECOLE ANNEXEE HOPITAL NORD,13015,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Jun-70,02
0132489K,ETABLISSEMENT HOSPITALIER- CHU,CENTRE SCOLAIRE HOPITAL ENFANT,13005,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,26-Nov-74,02
0132685Y,ETABLISSEMENT HOSPITALIER,ECOLE ANNEXEE HOP. VALVERT,13011,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,4-Jan-77,02
0132686Z,ETABLISSEMENT HOSPITALIER DE J,HOPITAL DE JOUR (PSYCHIATRIE),13503,MARTIGUES CEDEX,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,4-Jan-77,02
0133038G,ETABLISSEMENT HOSPITALIER,CTRE PSYCHOTHERAPIE INFANTILE,13127,VITROLLES,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,4-Nov-81,02
0133191Y,ETABLISSEMENT HOSPITALIER,UNITE OXALIS MONTPERRIN (PSYCH,13085,AIX EN PROVENCE CEDEX 2,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-85,02
0133969U,HOPITAL,DE SALON DE PROVENCE,13300,SALON DE PROVENCE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-10,02
0134173R,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,13085,AIX EN PROVENCE CEDEX 2,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-17,02
0141705C,ETABLISSEMENT HOSPITALIER,NIVEAU 10  ENFANTS ALLONGES,14033,CAEN CEDEX 9,014,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,28-Sep-76,05
0142396D,CENTRE HOSPITALIER RÉGIONAL,,14033,CAEN CEDEX 9,014,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-May-14,05
0150740Y,CENTRE HOSPITALIER,,15200,MAURIAC,015,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,15-Jan-93,06
0171458T,ETABLISSEMENT HOSPITALIER,UHE ROCHEFORT,17300,ROCHEFORT,017,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-91,13
0195054R,SERV ACTIVITE INDUSTR COMMERC,,19000,TULLE,019,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-14,22
0332071X,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR L'OISEAU LYRE,33850,LEOGNAN,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,17-Jun-71,04
0332460V,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR LES PLATANES,33320,EYSINES,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-78,04
0332541H,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR GARDEROSE,33505,LIBOURNE CEDEX,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-80,04
0333086A,ETABLISSEMENT HOSPITALIER,MAISON POST-CURE MONTALIER,33650,ST SELVE,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-02,04
0341852D,ETABLISSEMENT HOSPITALIER,LAPEYRONIE SV.ORTHOP.INFANTILE,34295,MONTPELLIER CEDEX 5,034,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-92,11
0350690K,UNITE PEDAGOGIQUE,CENTRE REY-LEROUX SSR,35340,LA BOUEXIERE,035,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Oct-65,14
0352499B,CTRE HOSPITALIER REGIONAL UNIV,PONTCHAILLOU RENNES,35033,RENNES CEDEX 9,035,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-96,14
0371785P,CENTRE HOSPITALIER,CHIC ROBERT DEBRE,37403,AMBOISE CEDEX,037,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Jan-01,18
0381600H,ETABLISSEMENT HOSPITALIER,ECOLE HOSPITALIERE,38043,GRENOBLE CEDEX 9,038,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,4-Nov-68,08
0401079F,CENTRE HOSPITALIER DE MONT DE,CENTRE DES TROUBLES DES APPREN,40024,MONT DE MARSAN CEDEX,040,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-15,04
0401089S,CENTRE HOSPITALIER DE DAX,CENTRE DES TROUBLES DES APPREN,40100,DAX,040,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-19,04
0411039G,CENTRE HOSPITALIER,SIMONE VEIL,41016,BLOIS CEDEX,041,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-78,18
0401023V,HOPITAL DE JOUR DAX,,40107,DAX CEDEX,040,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,04
0260218W,ETABLISSEMENT HOSPITALIER,DIEULEFIT SANTE,26220,DIEULEFIT,026,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,3-Nov-66,08
0030964G,CENTRE HOSPITALIER,MOULINS - YZEURE,03000,MOULINS,003,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-79,06
0160967P,ETABLISSEMENT HOSPITALIER,CAMILLE CLAUDEL,16400,LA COURONNE,016,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,15-Sep-75,13
0221668U,CENTRE HOSPITALIER,L'ARC EN CIEL,22100,DINAN,022,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,7-Nov-76,14
0240885G,ETABLISSEMENT HOSPITALIER,IME FONDATION J. BOST,24130,LA FORCE,024,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,18-Jul-67,04
0332839G,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR SAINT-GIRONS,33920,ST GIRONS D AIGUEVIVES,033,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-91,04
0021756Y,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02100,ST QUENTIN,002,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,8-Apr-75,20
0022146X,ETAB. PUBLIC DE SANTE MENTALE,CMP LA FERE,02800,LA FERE,002,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-14,20
0022139P,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,02880,CROUY,002,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-12,20
0031055F,ETABLISSEMENT HOSPITALIER,,03100,MONTLUCON,003,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,15-Sep-93,06
0050635N,HOPITAL DE JOUR,CENTRE ACCUEIL ET PSYCHOTHERAP,05000,GAP,005,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-06,02
0101132B,HOPITAL DE JOUR,CMP-CATTP LA PAROLE RECONNUE,10500,BRIENNE LA VIEILLE,010,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,2-Jan-99,19
0121253X,ETABLISSEMENT HOSPITALIER,ECOLE DE L'UNITE MEDICO PSYCHO,12000,RODEZ,012,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,29-May-75,16
0130961Z,ETABLISSEMENT HOSPITALIER,ECOLE ANNEXEE HOP. E.TOULOUSE,13014,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,10-Jul-65,02
0132944E,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR,13600,LA CIOTAT,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-80,02
0133705G,ETABLISSEMENT HOSPITALIER,HOPITAL LE RELAIS,13009,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-01,02
0133890H,ETABLISSEMENT HOSPITALIER,PLOMBIERE,13014,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-06,02
0134260K,CENTRE GERONTOLOGIQUE DÉPARTEM,INSTITUT DE FORMATION EN SOINS,13012,MARSEILLE,013,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,11-Jan-19,02
0142105M,ETABLISSEMENT HOSPITALIER,ROBERT BISSON,14100,LISIEUX,014,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-89,05
0171410R,HOPITAL DE JOUR ENFANTS,CENTRE HOSPITALIER DE SAINTONG,17100,SAINTES,017,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,15-Oct-86,13
0171598V,ETAB THERAPEUTIQUE ADOLESCENTS,ETAP,17800,PONS,017,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-08,13
0211493J,ETABLISSEMENT HOSPITALIER,PEDOPSYCHIATRIE R. MORLEVAT,21140,SEMUR EN AUXOIS,021,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,24-May-76,07
0212090H,ETABLISSEMENT HOSPITALIER,CATTP ARLEQUIN,21200,BEAUNE,021,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-97,07
0212068J,ETABLISSEMENT HOSPITALIER,CATTP FONTAINE AUX BERLINGOTS,21000,DIJON,021,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-96,07
0212069K,ETABLISSEMENT HOSPITALIER,CTRE AIDE THERAP. T.P. UPSILON,21000,DIJON,021,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-96,07
0241120M,ETABLISSEMENT HOSPITALIER,CTRE PSYCHOTHER DE JOUR PR ENF,24100,BERGERAC,024,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-87,04
0241186J,CENTRE DE PSYCHOTHERAPIE JOUR,,24000,PERIGUEUX,024,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-95,04
0241300H,HOPITAL DE JOUR POUR ENFANTS,HOPITAL DE JOUR POUR ENFANTS P,24400,MUSSIDAN,024,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-17,04
0251709X,UNITÉ D'ENSEIGNEMENT CATTP,CHU SAINT JACQUES,25000,BESANCON,025,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-88,03
0271506R,ETABLISSEMENT HOSPITALIER,CHS NAVARRE SECTEUR DE PEDOPSY,27000,EVREUX,027,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Jan-79,21
0271879W,ETABLISSEMENT HOSPITALIER,HOPITAL DE JOUR POUR ADOLESCEN,27000,EVREUX,027,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-16,21
0280914S,ETABLISSEMENT HOSPITALIER,SECTEUR PSYCHIATRIE INFANTILE,28000,CHARTRES,028,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,20-Sep-74,18
0280862K,CENTRE ACCUEIL THERAPEUTIQUE,SECTEUR 28 L.01,28200,CHATEAUDUN,028,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,8-Nov-71,18
0280982R,ECOLE DU S.P.I.J,,28100,DREUX,028,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,13-Sep-79,18
0281106A,ETABLISSEMENT HOSPITALIER,NOGENT-LE-ROTROU,28400,NOGENT LE ROTROU,028,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-99,18
0311310F,HOPITAL DE JOUR LES AUTANS,PÔLE GUIDANCE INFANTILE (ARSEA,31670,LABEGE,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,21-Oct-69,16
0312715H,CLINIQUE,MARIGNY,31140,ST LOUP CAMMAS,031,200,HOPITAL,ETABLISSEMENT HOSPITALIER,SANTE ET SOLIDARITE NATIONALE,1-Sep-04,16
